Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Webservers,Amazon EC2,0,781.68,9380.16,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (50 GB), Instance type (r6g.xlarge)"
My Estimate,US East (N. Virginia),AppServer,Amazon EC2,0,765.68,9188.16,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r6g.xlarge)"
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,567,6804,USD,"Working days per month (22), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,526.5,6318,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),VPC,Gateway Load Balancer,0,580.35,6964.2,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (2), Total processed bytes (100 GB per hour), Average connection/flow duration (30 minutes)"
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,1200.85,14410.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),DataBase,Amazon RDS for PostgreSQL,0,1801.166,21613.99,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB per month), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (100 GB)"
My Estimate,US East (N. Virginia),Route53,Amazon Route 53,0,0,0,USD,
My Estimate,US East (N. Virginia),Cloudfront,Amazon CloudFront,0,119,1428,USD,"Data transfer out to internet (200 GB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (100 million per month)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,4.6,55.2,USD,S3 Standard storage (200 GB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0,USD,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Updates:,,,,,,,,
Switched the DB server instance type from (db.m5.4xlarge) to (db.m5.2xlarge),,,,,,,,
Switched from on-demand pricing to EC2 Instance Savings Plans 1 Year No Upfront for app servers,,,,,,,,
Switched from on-demand pricing to EC2 Instance Savings Plans 1 Year No Upfront for web servers,,,,,,,,
